18744	11	27566	1984	1984
7552	10	27817	1844	1844
3681	2	24196	1999-##-##	####-##-##
4084	3	25050	1919-04-01	####-##-##
1860	4	1386	2002-##-##	####-##-##
19568	10	27536	1873	1873
16638	11	27642	1973	1973
14568	10	27625	1915	1915
6542	10	27573	1893	1893
1555	3	24778	1990-##-##	####-##-##
6605	10	27601	1900	1900
11684	10	27609	1965	1965
2116	2	24745	2010-##-##	####-##-##
15974	10	27553	1935	1935
16108	10	27669	1927	1927
19041	11	27550	1959	1959
1382	0	23580	1916-04-19	1916-04-19
21374	11	27544	1983	1983
14628	13	27663	1912	1912
9360	10	27559	1926	1926
39	9	27362	2010-##-##	####-##-##
23029	11	27564	1979	1979
3257	7	23903	2016-##-##	2016-##-##
21806	10	27601	1900	1900
15920	11	27547	2014	2014
10119	10	27670	1916	1916
6477	9	26067	1997-##-##	####-##-##
9193	11	27983	1495	1495
9055	10	27611	1882	1882
22067	10	27593	1921	1921
4237	3	24910	1930-##-##	####-##-##
6103	9	26848	2012-##-##	####-##-##
15951	11	27572	1993	1993
15519	13	27801	1866	1866
17691	11	27568	1980	1980
2539	0	23545	1964-12-27	1964-12-27
1199	8	25795	2009-##-##	2011-##-##
14309	11	27598	1996	1996
8553	11	27552	1971	1971
16874	10	27675	1834	1834
22461	10	27801	1866	1866
1521	0	23777	1953-04-11	1953-04-11
19433	13	27559	1926	1926
11337	11	27544	1983	1983
617	4	121	1987-##-##	####-##-##
9059	11	28326	1740	1740
17686	12	27656	1957	1957
21626	12	27656	1957	1957
9038	10	27571	1892	1892
721	10	27585	1913	1913
3576	2	19620	2007-##-##	####-##-##
17309	11	27667	1953	1953
18607	11	27555	2001	2001
20632	10	27634	1856	1856
7566	10	27613	1898	1898
2029	2	24203	2010-##-##	2011-##-##
14122	11	27603	2009	2009
1679	8	25716	2013-##-##	####-##-##
1134	4	818	1947-##-##	####-##-##
4486	11	27701	1889	1889
21693	10	27895	1863	1863
16570	11	27633	1947	1947
7125	11	27545	1998	1998
17922	10	27707	1788	1788
5438	8	25729	1922-##-##	####-##-##
4103	3	24783	1919-##-##	####-##-##
23187	11	27746	1885	1885
1519	7	23891	1963-10-18	1963-10-18
22545	10	27721	1886	1886
19739	10	27668	1901	1901
10307	10	27649	1903	1903
17561	11	27647	1978	1978
5401	8	18324	1994-##-##	2009-##-##
18583	11	27534	1987	1987
13959	12	27720	1956	1956
11663	11	28173	1423	1423
3783	2	24203	2005-##-##	2008-##-##
16044	12	27598	1996	1996
21659	10	27601	1900	1900
2100	0	23492	1984-01-15	1984-01-15
10616	11	27687	2007	2007
21267	12	27777	1299	1299
13024	11	27738	1944	1944
21813	10	27625	1915	1915
7750	12	27647	1978	1978
5796	9	26354	2006-##-##	####-##-##
19803	10	27583	1902	1902
3580	2	24354	2010-##-##	####-##-##
19580	10	27601	1900	1900
17797	10	27550	1959	1959
11760	10	27586	1908	1908
19354	10	27677	1891	1891
12508	11	27581	1884	1884
1785	3	24837	1987-##-##	####-##-##
5818	10	27738	1944	1944
16730	10	27902	1860	1860
