0	0	17948	1941	1941
1	1	17949	1975	1975
2	0	17950	1942	1942
3	2	17951	2010	2010
4	3	17952	1987	1987
5	1	17953	1598	1598
6	1	17954	1873	1873
7	2	17955	2000	2000
8	0	17956	1964	1964
9	0	17957	1894	1894
10	1	17958	2005	2005
11	1	17959	2006	2006
12	1	17960	1974	1974
13	0	17961	1904	1904
14	1	17962	1983	1983
15	3	17963	1998	1998
16	0	17964	1812	1812
17	1	17965	2014	2014
18	1	17966	1949	1949
19	2	17967	1924	1924
20	2	17968	1959	1959
21	1	17969	2013	2013
22	2	17970	1971	1971
23	0	17971	1935	1935
24	1	17972	1994	1994
25	1	17972	1994	1994
26	1	17973	2001	2001
27	0	17974	1783	1783
28	1	17975	1905	1905
29	3	17976	1815	1815
30	0	17977	1926	1926
31	2	17978	1991	1991
32	1	17973	2001	2001
33	0	17979	1934	1934
34	1	17965	2014	2014
35	1	17980	2004	2004
36	1	17981	1966	1966
37	1	17982	1979	1979
38	0	17950	1942	1942
39	0	17983	1910	1910
40	1	17984	1984	1984
41	0	17985	1954	1954
42	1	17969	2013	2013
43	1	17986	1980	1980
44	0	17987	1930	1930
45	1	17988	2016	2016
46	0	17989	1892	1892
39	1	17990	1993	1993
47	1	17973	2001	2001
48	0	17991	1893	1893
49	0	17992	1881	1881
50	1	17990	1993	1993
51	0	17993	1948	1948
52	1	17994	1781	1781
53	1	17995	1992	1992
54	2	17996	1876	1876
55	2	17996	1876	1876
56	0	17997	1888	1888
57	1	17998	1823	1823
58	0	17961	1904	1904
59	0	17999	1884	1884
60	2	18000	1569	1569
61	0	18001	1902	1902
62	1	18002	1989	1989
63	0	18003	1913	1913
64	1	18004	1908	1908
65	1	17986	1980	1980
66	1	18005	0241	0241
67	0	18006	1906	1906
68	3	18007	0750	0750
69	0	18008	1177	1177
70	1	18009	1997	1997
71	0	18010	1929	1929
72	2	17955	2000	2000
73	0	18011	1921	1921
74	1	17951	2010	2010
75	3	18012	1990	1990
76	0	17989	1892	1892
77	1	18013	2012	2012
78	1	17962	1983	1983
79	0	18001	1902	1902
80	1	17951	2010	2010
81	0	18014	1918	1918
82	2	18015	1939	1939
83	1	18016	1996	1996
84	1	18017	1995	1995
85	2	18018	1789	1789
86	1	18017	1995	1995
87	0	18019	1900	1900
88	0	18020	1895	1895
89	1	18021	2009	2009
90	2	18022	1976	1976
91	0	17998	1823	1823
92	1	18023	1981	1981
93	0	18024	1899	1899
94	0	18025	1952	1952
95	3	18026	1982	1982
96	1	18027	1965	1965
97	0	18028	1683	1683
98	0	18029	1882	1882
99	1	17989	1892	1892
100	2	18030	0818	0818
101	0	18031	1898	1898
102	1	18032	0857	0857
103	1	18033	2003	2003
104	2	18034	0360	0360
105	1	18035	1970	1970
106	0	18031	1898	1898
107	0	18010	1929	1929
108	2	18036	1852	1852
109	3	18003	1913	1913
110	3	18037	1962	1962
111	0	18038	1919	1919
112	0	18024	1899	1899
113	1	18039	1961	1961
114	0	18040	1936	1936
115	4	18041	2015	2015
116	1	17963	1998	1998
117	2	17959	2006	2006
118	1	18042	1862	1862
119	1	17965	2014	2014
120	1	17968	1959	1959
121	0	17961	1904	1904
122	3	17973	2001	2001
123	1	18043	1915	1915
124	2	18044	1917	1917
125	2	18045	1988	1988
126	0	17957	1894	1894
127	1	18004	1908	1908
128	1	18046	1958	1958
129	2	17962	1983	1983
130	0	18047	1887	1887
131	0	18048	1923	1923
132	2	18033	2003	2003
133	0	18040	1936	1936
134	0	18049	1869	1869
135	2	18013	2012	2012
136	1	18035	1970	1970
137	0	18050	1857	1857
138	1	17955	2000	2000
139	3	18051	1947	1947
140	0	18052	1856	1856
141	1	17959	2006	2006
142	1	17990	1993	1993
143	0	18053	1371	1371
144	1	18037	1962	1962
145	1	18041	2015	2015
146	1	18027	1965	1965
147	1	18040	1936	1936
148	2	18033	2003	2003
149	0	18054	1875	1875
150	1	18016	1996	1996
151	0	18038	1919	1919
152	2	17984	1984	1984
153	1	18055	1800	1800
154	1	18041	2015	2015
155	0	18056	1864	1864
156	1	18045	1988	1988
157	1	17963	1998	1998
158	0	18003	1913	1913
159	2	18057	1999	1999
160	2	18012	1990	1990
161	2	18058	2008	2008
162	0	17967	1924	1924
163	3	17951	2010	2010
164	0	18018	1789	1789
165	1	17962	1983	1983
166	0	18059	0702	0702
167	1	17949	1975	1975
168	0	18004	1908	1908
169	1	18060	1973	1973
170	2	18061	0918	0918
171	2	18055	1800	1800
172	1	17948	1941	1941
173	0	18001	1902	1902
174	0	18062	0711	0711
175	2	18063	1806	1806
176	1	18058	2008	2008
177	1	17980	2004	2004
178	1	18064	1034	1034
179	1	18013	2012	2012
180	1	18065	1978	1978
181	1	17988	2016	2016
182	1	18066	1940	1940
183	1	17951	2010	2010
184	1	18067	1903	1903
185	2	18035	1970	1970
186	0	18068	1960	1960
187	0	17977	1926	1926
188	1	18069	1972	1972
